,Country,Commodity,Commodity (Type),Year,Live exports (Extra-EU) (THOUSAND TONS (CARCASS WEIGHT EQ.)),Live exports (Intra-EU) (THOUSAND TONS (CARCASS WEIGHT EQ.)),Live imports (Extra-EU) (THOUSAND TONS (CARCASS WEIGHT EQ.)),Live imports (Intra-EU) (THOUSAND TONS (CARCASS WEIGHT EQ.)),Meat exports (Extra-EU) (THOUSAND TONS (CARCASS WEIGHT EQ.)),Meat exports (Intra-EU) (THOUSAND TONS (CARCASS WEIGHT EQ.)),Meat imports (Extra-EU) (THOUSAND TONS (CARCASS WEIGHT EQ.)),Meat imports (Intra-EU) (THOUSAND TONS (CARCASS WEIGHT EQ.)),Total live exports (THOUSAND TONS (CARCASS WEIGHT EQ.)),Total live imports (THOUSAND TONS (CARCASS WEIGHT EQ.)),Total Meat exports (THOUSAND TONS (CARCASS WEIGHT EQ.)),Total Meat Exports (THOUSAND TONS (CARCASS WEIGHT EQ.)),Total Meat imports (THOUSAND TONS (CARCASS WEIGHT EQ.)),Net production (THOUSAND HEAD),Net production (THOUSAND TONS (CARCASS WEIGHT EQ.)),Total Population (THOUSAND PEOPLE),Area (SQ.KM.)
84,Austria,BOVINE,MEAT,2002,1.519472,11.760207,0.0,3.47135599999999,16.757085,55.991175,0.102139999999999,11.0169959999999,13.279679,3.47135599999999,72.74826,72.74826,11.119135999999898,707.27,211.86,8059.591,83871
85,Austria,BOVINE,MEAT,2003,2.158318,12.4958309999999,0.0,4.899512,9.20136999999999,64.8255,0.40266,12.66035,14.654148999999899,4.899512,74.02687,74.02687,13.063009999999998,684.95,208.11,8098.393,83871
86,Austria,BOVINE,MEAT,2004,2.677365,12.945268,0.00913,7.81638499999999,9.631965,73.19899,0.14267,12.6752189999999,15.622633,7.82551499999999,82.83095499999999,82.83095499999999,12.817888999999902,674.07,206.29,8141.815,83871
87,Austria,BOVINE,MEAT,2005,2.583296,14.606232,0.006534,12.719307,5.079205,73.382565,0.111794999999999,17.915776,17.189528,12.725841,78.46177,78.46177,18.027571000000002,654.24,203.76,8200.618,83871
88,Austria,BOVINE,MEAT,2006,3.059186,16.224407,0.0105879999999999,8.38427499999999,6.47325,79.46427,0.13287,20.968555,19.283593,8.39486299999999,85.93752,85.93752,21.101425,682.76,214.58,8253.451,83871
89,Austria,BOVINE,MEAT,2007,3.223326,18.107601,0.020079,9.083571,4.31605999999999,86.250985,0.0430049999999999,28.47749,21.330927,9.10365,90.567045,90.567045,28.520495,675.37,215.57,8282.076,83871
90,Austria,BOVINE,MEAT,2008,3.13542,17.896843,0.023014,11.239738,8.253365,95.70497,0.045405,35.884475,21.032263,11.262751999999999,103.958335,103.958335,35.929880000000004,690.97,221.16,8307.368,83871
91,Austria,BOVINE,MEAT,2009,2.084858,15.889339,0.039268,26.3528649999999,6.122475,105.175545,0.02777,35.455004,17.974197,26.392132999999898,111.29802,111.29802,35.482774,699.78,223.65,8334.895,83871
92,Austria,BOVINE,MEAT,2010,4.799702,15.468173,0.020082,25.855893,14.622707,104.138831,0.058756,32.353609,20.267875,25.875974999999997,118.761538,118.761538,32.412365,702.35,224.79,8350.976,83871
93,Austria,BOVINE,MEAT,2011,9.907774,15.9249149999999,0.0149819999999999,26.248835,17.183174,101.534448,0.359593999999999,38.026839,25.8326889999999,26.263817,118.717622,118.717622,38.386433000000004,687.87,220.66,8374.682,83871
94,Austria,BOVINE,MEAT,2012,10.372697,14.121204,0.0291419999999999,28.748698,11.083204,104.747186,0.075072,40.660012,24.493901,28.77784,115.83039,115.83039,40.735084,679.77,221.12,8407.717,83871
95,Austria,BOVINE,MEAT,2013,4.730116,16.0586389999999,0.009713,34.57209,12.8193679999999,106.993337,0.321445,39.0476199999999,20.7887549999999,34.581803,119.8127049999999,119.8127049999999,39.3690649999999,692.37,227.2,8451.556,83871
96,Austria,BOVINE,MEAT,2014,5.193778,14.818676,0.010737,33.035841,18.350111,109.237118,0.438270999999999,42.768786,20.012453999999998,33.046578,127.587229,127.587229,43.207057,675.91,221.64,8507.522,83871
97,Austria,BOVINE,MEAT,2015,6.255805,12.2862549999999,0.040293,36.419491,15.760941,112.193912,0.173577,44.5835729999999,18.5420599999999,36.459784,127.954853,127.954853,44.7571499999999,695.17,228.75,8584.609,83871
98,Austria,BOVINE,MEAT,2016,6.42135699999999,12.6254189999999,0.009113,37.837812,14.6030059999999,106.376229,0.178918,49.960825,19.046775999999888,37.846925,120.97923499999989,120.97923499999989,50.139743,686.53,227.44,8700.233,83871
99,Austria,BOVINE,MEAT,2017,6.977593,12.097125,0.005683,36.675725,15.59474,109.353225999999,0.403683,57.961058,19.074718,36.681408,124.947965999999,124.947965999999,58.364741,678.26,226.09,8772.74,83871
100,Austria,BOVINE,MEAT,2018,5.652755,10.942756,0.016298,34.425222,14.291377,103.084453,0.418662,55.05992,16.595511,34.44152,117.37583,117.37583,55.478581999999996,694.23,233.46,8822.252,83871
101,Austria,BOVINE,MEAT,2019,5.784665,10.959975,0.008192,30.21218,14.108563,110.59722,0.428508,58.949344,16.74464,30.220372,124.705783,124.705783,59.377852000000004,680.53,229.61,8858.773,83871
